zipcode3,PREP,N2,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,N01000,A01000,SCHF,N02300,A02300
050xx,14510,53320,10020,1890877,30480,1926771,24570,1233649,10340,10369,7050,75209,6610,61485,6020,78385,6070,96884,250,1000,3523
051xx,7320,25590,4870,735231,14730,748833,11840,492285,4670,4216,3140,21249,2900,16191,2480,31808,2550,22098,80,710,2415
052xx,8260,29120,5330,932978,16630,950693,13240,602221,5380,7680,3950,40056,3760,33312,2820,40781,3080,36170,0,800,3039
053xx,8410,30160,5640,940044,17730,962322,14210,604068,5880,6726,4270,33222,3940,25679,3680,55404,3580,36580,100,940,3847
054xx,52440,211860,29920,8268214,121600,8420359,103820,5848444,43270,52447,29230,233706,27380,190992,19610,306352,24260,398340,950,4600,17963
056xx,19620,75770,12290,2746718,43530,2804362,36010,1800221,15710,17503,10130,81044,9620,67605,7930,123138,8770,147763,280,2480,9737
057xx,21460,68280,12860,2133930,39640,2172290,32140,1449008,14280,12490,8770,58585,8210,43406,6120,72406,7190,66427,320,2020,6901
058xx,14800,49210,8450,1237267,27260,1258025,22120,876627,8260,5961,4770,20885,4430,15986,5110,47287,3890,23830,500,2110,7663
059xx,670,2440,450,54034,1340,54727,1070,39088,340,149,190,316,190,233,210,1475,120,486,0,80,325
060xx,167790,607650,89950,27202410,336240,27658871,281400,19876822,119220,155100,87930,572235,82760,459307,45860,988896,68600,734755,330,15900,96965
061xx,71210,246950,29710,8871582,137470,9012380,118240,6546700,36790,52695,25440,199852,23910,162319,18010,313983,20260,300449,0,6800,36944
062xx,34950,129080,18700,4772942,70920,4844719,59840,3505506,24080,21766,14870,61009,13770,46562,9870,168315,11340,85351,290,3980,21993
063xx,61460,229430,34370,8800734,129150,8930306,108490,6131309,41640,46279,28380,192922,26620,157262,15940,285925,21940,230931,140,6100,34535
064xx,194250,653080,105410,30995660,360000,31565936,295390,22081040,137320,182813,105890,651529,99780,505238,57040,1311191,84720,942678,370,15980,99527
065xx,62290,225920,27140,7674972,127450,7791987,110610,5817586,29830,40628,21400,136839,19990,106978,19480,291806,17100,183980,0,5760,32865
066xx,62020,207610,23240,6701120,111280,6811512,93860,5038188,25890,34645,18830,113799,17490,89334,19520,310235,14670,180350,20,6010,33918
067xx,84730,288480,39160,10158127,158380,10333525,133670,7326210,47110,58699,31290,192126,29340,150864,24340,414227,24150,280250,220,9060,48682
068xx,143790,442140,58470,50288127,226560,51187310,178270,29142982,96580,991503,90170,2842373,86290,2031284,50790,1922237,81370,6788310,0,7390,48717
069xx,40710,118600,14070,7548834,66930,7692577,54930,5116584,21450,83081,18240,211637,17380,188264,14650,346325,16200,375129,0,2240,14497
070xx,587880,1590280,180130,77168969,848840,78348825,720100,56137215,257550,702939,193150,1673071,182420,1270511,146860,2860827,161570,2778858,40,44350,280518
071xx,115940,324490,25660,7086881,174450,7157552,151240,5972836,21220,23659,10420,28139,9400,21892,31100,252477,7580,58652,0,9870,58906
072xx,60760,167110,13950,3707751,89760,3742721,77900,3132472,12510,9936,5400,17972,4810,14062,15490,147836,3990,18053,0,4960,30936
073xx,87340,232870,16180,9404255,132400,9496090,118420,8271346,28320,29315,18260,56416,16970,43002,21440,267857,15990,210883,0,5520,32340
074xx,152750,437530,64560,28129231,226800,28642450,185810,18656737,98660,263711,83610,744015,79570,583703,39330,1130610,70730,1600127,280,11970,80674
075xx,72210,186550,15710,3961311,98620,4005217,87170,3269181,12380,12860,7780,29070,7220,21380,14910,163537,6190,27817,0,6870,40191
076xx,179210,474510,64200,26616113,247630,27074088,204170,17550672,91290,313148,72240,777029,68500,619623,46350,1174646,62630,1470390,0,11100,72101
077xx,190240,564520,79650,30948605,301500,31492670,249030,21136980,114570,247173,94010,719871,88780,557603,48220,1263484,79580,1356753,340,15940,101844
078xx,105980,336820,46330,15913145,177740,16171591,149920,11815553,65170,80334,53030,259809,50020,203884,26970,584474,42430,397331,1510,10180,67959
079xx,82700,252240,35290,25721363,127910,26165959,103590,16882964,65890,331242,62890,955058,60200,764042,23250,878425,55860,1916643,190,4840,34417
080xx,319130,1077040,151080,43062223,574690,43709364,482620,31363785,182270,226592,128200,607449,119250,461409,72560,1395225,100430,1037496,1080,34440,209129
081xx,37810,132180,11900,3028076,68760,3060937,61520,2488547,11420,8598,6950,23119,6340,16924,7380,82710,5040,19288,0,4070,22967
082xx,75380,226740,36510,7457118,124760,7600525,102160,4907967,35310,47364,25890,125588,24130,95309,17490,376336,21530,195438,190,12480,68204
083xx,60210,206910,24520,5586930,105430,5657455,90680,4147618,24790,23797,14930,52321,13680,39901,10510,131172,10950,64560,760,8790,50880
084xx,15290,43660,6060,1137611,23770,1160662,19680,723281,4710,8398,3450,27358,3210,20818,3250,62387,3200,39411,0,2140,9555
085xx,88990,300590,38750,19457994,150580,19756631,125600,13548857,64230,180800,54170,598238,51380,471096,24960,682661,46550,929497,930,6860,44777
086xx,67940,225920,28040,7496628,122740,7577895,103920,5729668,32030,35639,22720,86053,21090,66724,15500,193111,17120,97258,30,6630,38084
087xx,137530,436030,74550,15146251,219210,15396300,165670,9559860,79950,142649,58440,294853,54700,226035,31790,634639,46340,497929,0,12880,77655
088xx,283740,880780,111540,39782170,455240,40308128,386270,30456419,163580,236963,127170,708340,119790,558396,64100,1212559,102880,929805,1200,24820,160599
089xx,29620,90490,7420,2773751,46220,2807919,41330,2255982,9950,13894,7400,41596,6940,33650,6160,84729,6130,44817,0,2160,12771
100xx,513900,1231680,161560,158474014,806890,160648265,661940,85078418,297050,4371322,260090,9030796,248570,6631617,171370,5483975,240380,25334046,140,21760,120751
101xx,22010,53520,8420,11131244,34360,11300329,27150,5452305,17890,273174,16250,665478,15600,498887,7090,367625,15060,1913237,20,720,4248
102xx,4180,11970,910,2076769,6510,2100100,5650,1612120,3870,14784,3460,45873,3330,33035,1210,51467,3270,213608,0,120,777
103xx,166050,425100,52760,15560394,220740,15719272,183340,11652517,87030,96325,44460,170509,41640,130905,33630,473447,34710,310133,0,6350,34210
104xx,471430,1213140,99600,24269072,652020,24486677,546220,20256996,83840,65633,31980,150075,28880,119341,122730,1133966,27730,228631,0,20530,99184
105xx,229360,620980,86080,54780457,323050,55675711,260420,32598848,150060,954240,115790,2238443,110130,1712173,60050,1834080,102650,5447122,0,8030,44453
106xx,30650,79640,11210,5005220,44030,5085876,35840,3333382,17370,61654,12970,150130,12290,118369,8050,254060,11510,250247,0,1030,5636
107xx,83870,211290,26940,10123062,114900,10251033,94420,7000109,36410,97214,23230,255674,21740,204279,18520,319336,20060,676254,0,3430,17073
108xx,29350,78380,9760,5024467,40760,5113997,33380,3327979,15190,52280,11180,146163,10570,111820,7650,189769,10040,339657,0,1350,7200
109xx,174270,529140,59850,20890001,250330,21180593,211010,14507214,96640,131903,59770,342814,55910,264127,37680,701914,49630,604381,160,6720,37574
110xx,97170,246830,36120,16932583,127780,17217538,101740,9881492,62200,282975,41550,571562,39270,425862,22450,634545,37640,1276161,0,2580,13878
111xx,72630,190370,16460,7624223,118830,7723840,98790,6496580,30400,27450,18880,58702,17650,44304,28230,351018,16570,111993,0,3710,19403
112xx,797970,2201490,199400,70697137,1193110,71701027,1008580,54049278,258520,491002,153430,873904,143080,661703,247170,3469044,137010,2622291,20,33100,167805
113xx,435200,1091150,123010,29929498,587220,30313041,456710,22865061,160730,198605,85820,396622,79010,310303,142270,1680743,76230,669361,0,12900,69574
114xx,280110,691060,73450,17111251,376430,17257438,313480,14129509,85060,52560,31360,86245,28090,64940,70270,706352,26300,150925,0,9400,47084
115xx,285340,702670,95910,39936320,376700,40536834,310190,25538944,163550,592908,103610,1107388,97710,856551,60880,1438146,91390,2657997,0,9490,47581
116xx,34320,92850,9580,2569405,48260,2596663,40830,1970344,11290,12888,5770,27037,5400,20035,7510,94064,5010,47684,0,1380,7040
117xx,580630,1500160,197760,77298917,806520,78273474,681390,52967187,365050,615531,208130,1422971,195260,1050539,109680,2005552,175160,3234501,0,23770,118294
118xx,28360,74390,10670,3699807,38740,3753603,31920,2649632,19920,34680,12480,84206,11730,64011,6260,119810,10600,121435,0,890,4286
119xx,93970,236600,38430,11398357,132850,11590625,104010,6670238,56260,127562,31940,316178,29860,241384,23570,514062,27460,808313,20,4830,24218
120xx,81750,297290,45240,11087057,162320,11236022,134530,7990278,66230,51153,40050,162628,37300,128328,20740,318983,29750,206361,860,5060,24864
121xx,67630,245600,38040,8893158,138750,9005926,114770,6323318,53100,43855,30750,125059,28510,96992,16470,239661,22980,167999,410,4490,20941
122xx,32670,117010,17310,4312227,70760,4370157,59540,2995698,23630,27515,13800,83254,12790,65902,7520,126454,10810,115854,0,1530,7125
123xx,40730,144770,21040,5034243,79960,5095226,66540,3648925,30860,26521,19300,100916,18170,82661,9050,141818,13970,100698,60,2050,9951
124xx,40890,125630,21830,4120981,71680,4182129,56620,2712402,29140,24383,16190,91641,14440,62759,12210,156313,11760,131976,60,2170,9564
125xx,128290,390180,55130,15404495,212310,15605731,176120,10905800,86240,90500,49080,263160,45710,206451,31340,449508,38070,412100,340,6420,32105
126xx,21420,71130,9420,2432442,38970,2463192,32710,1789158,14580,14529,8230,52023,7600,41291,4910,64611,6110,43119,0,1030,5213
127xx,25080,79820,11150,2244180,42230,2268828,34890,1610245,13470,10603,6830,22871,6250,17444,5820,56725,5060,18463,120,1250,5508
128xx,54410,198440,31090,11191561,111110,11305031,91640,5380830,41410,110229,24090,280564,22400,213389,15080,246388,18590,1136206,590,4300,19270
129xx,33260,124200,18910,3555320,68640,3601924,55930,2485743,22800,14125,10850,42413,9920,31666,8650,96855,7760,50342,960,2990,13080
130xx,98420,340560,50580,11849116,185810,12026199,155470,8372088,74510,67560,41000,181844,38220,145535,22920,344161,30440,304752,1190,7180,34309
131xx,44440,151710,21990,5288824,80120,5371343,66260,3553426,30520,35142,16550,102114,15420,78925,9970,148834,12300,181025,1080,3910,19021
132xx,45700,170330,22130,4502440,96280,4564943,82430,3326457,29220,18939,15400,57195,14290,45375,10670,130654,11030,78167,40,2940,13107
133xx,32770,114410,17420,3203275,60640,3246028,49400,2259371,21100,16199,12120,44922,11070,34736,7910,82927,8690,68794,1360,2980,13762
134xx,42380,151260,23590,4459465,82270,4517942,67200,3127929,31800,23692,16610,60008,15260,46353,9610,118932,11570,77110,1040,3400,15525
135xx,13780,55190,6590,1195309,29420,1210040,24820,868729,8450,6824,4040,15260,3710,11876,3370,44488,2810,13988,30,800,3732
136xx,47110,185410,22370,4684547,94770,4737714,79820,3418862,30050,18261,13030,40363,11940,30689,10520,95619,9160,61425,1500,5270,24186
137xx,28750,112770,18790,3181635,61810,3221229,49430,2228329,25620,18265,14190,59401,13230,48559,7510,71669,9610,57440,530,2630,12454
138xx,29340,109260,17680,3170147,58960,3211742,47700,2220135,22800,18687,12860,62290,11900,52014,7630,88442,9190,59450,780,2570,11833
139xx,13290,55990,9030,1611601,32020,1634711,26320,1122047,12190,10631,6510,29292,6070,23660,3630,50965,4610,26067,0,1180,5163
140xx,129890,394740,63450,14223725,217230,14448068,178650,9932741,95440,89064,53560,208117,49930,161245,24390,434190,39810,267984,1440,10120,46294
141xx,58300,177940,29380,6178534,99520,6268426,81430,4271691,42550,39294,22790,93287,21130,73423,10230,161990,16730,187485,730,4690,20644
142xx,137990,454410,62980,13911764,260350,14121418,220260,9903829,86870,87966,45690,239301,42380,189485,26060,414831,33930,293440,0,9790,43103
143xx,15800,51970,7380,1210840,29780,1220951,25260,927458,8610,5366,3880,9379,3560,7080,2180,19320,2660,8985,0,1560,6789
144xx,72780,261830,41360,8954014,143110,9086635,118060,6250098,63570,46360,33610,143904,31060,112021,17490,253896,25700,164668,1350,5340,23955
145xx,84400,298570,46480,11606977,158560,11802134,129000,7829793,74730,84204,42790,246570,39760,188349,21260,370355,34760,351392,1770,5600,25211
146xx,98210,382810,52800,11331346,220860,11498410,186900,8199461,80130,68593,39650,215428,36570,163662,24620,336374,31270,267816,0,7350,32396
147xx,40470,138870,20740,3437072,73670,3485094,60580,2398974,23250,13326,12700,44660,11710,35172,9320,112288,9150,67766,1230,4460,19358
148xx,55290,217730,33610,6943934,117960,7037473,96210,4878204,46120,39614,25650,136402,23950,107604,16810,209040,19100,178836,2260,5280,24488
149xx,8700,36640,5090,937502,19870,949164,16730,682862,6510,4287,3200,13919,2970,11264,1920,24075,2180,12833,30,940,4098
150xx,109720,408600,67550,14604090,225110,14781696,184030,10666548,73110,80632,51340,239206,47690,176945,25260,397502,39250,321377,540,16190,87924
151xx,81820,327240,56170,12560128,186910,12723156,153020,8829920,59700,72873,44410,285405,41160,227344,21850,335937,34740,387354,0,11000,58687
152xx,141980,573320,90040,23972852,342100,24315438,285490,16810430,105500,145125,81860,685694,76510,568180,46060,774941,66370,923507,0,17370,91490
153xx,47810,164800,26530,6570507,88300,6656746,72080,4328033,31750,34484,20530,111183,19240,86679,10730,190135,16390,226231,1120,7110,39507
154xx,33920,112220,17470,2862537,61530,2891475,50460,2040109,15150,13804,9170,32067,8090,20681,6020,67370,5900,27275,350,6120,32878
155xx,22710,72540,11730,1835282,38840,1863747,31000,1263687,12440,12391,6890,25327,6290,18336,5420,69572,5220,32840,1140,3990,18756
156xx,75870,274740,48570,9394164,152870,9521250,122870,6546558,50870,60076,35800,165065,33050,130418,18130,284081,26280,223232,580,12370,62878
157xx,25440,83840,13820,2217977,44670,2246443,35490,1523433,15090,15910,8790,31308,8070,24184,5780,79725,6030,40413,700,4890,27312
158xx,25290,77070,12710,2174499,42800,2207431,34740,1489228,13990,16461,9590,33229,8880,25544,4720,62992,6260,67263,280,3940,17824
159xx,32930,115400,20800,3088410,63360,3126251,50450,2198159,22050,21840,12500,35676,11360,25592,6320,79547,8080,40001,170,5440,26704
160xx,49330,182220,28100,6852818,97060,6942945,79460,5021744,34530,35695,25280,112334,23530,85811,12350,202003,20120,152836,690,6780,35154
161xx,53430,183830,30900,4909708,99530,4974574,79590,3422717,29610,31242,19410,71424,17970,55757,11930,164064,14500,75673,1410,8280,41344
162xx,20040,69760,10730,1799322,36800,1821001,29500,1262925,11360,11330,7150,24688,6650,19076,4760,55017,4930,37775,710,4080,20576
163xx,34250,121270,21060,3149660,66370,3192508,52560,2094111,19320,17330,13070,61538,12110,51192,7840,98509,9210,58726,570,5500,28227
164xx,29910,109560,15780,2977541,57130,3021966,47130,2087526,16890,15022,10580,42342,9770,32435,7560,101311,8070,52746,1100,5420,32986
165xx,37560,150430,22290,4293062,84220,4357769,70560,2983434,24400,26186,15870,84802,14680,69157,8460,127951,11420,86990,50,6510,38321
166xx,51120,167320,26550,4483777,90620,4542970,73860,3117430,25200,26216,15780,56376,14330,40293,9690,129191,11450,81441,800,7900,36164
167xx,12270,37690,6040,968187,20460,981122,16540,667730,6710,5410,3790,15981,3480,12096,2400,31390,2450,15372,150,1630,7959
