zipcode3,PREP,N2,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,N01000,A01000,SCHF,N02300,A02300
383xx,65260,239200,29180,5602514,118970,5679049,100100,4146469,27270,26525,12610,50671,11670,39428,18320,248554,10580,109781,4090,3660,10405
384xx,42260,153850,18690,3667345,77100,3716965,64970,2733462,17160,18100,8120,30382,7380,24126,12410,186048,7440,89588,4800,2350,5887
385xx,56680,193360,27850,4512896,97370,4583168,76820,2960872,26170,37163,11510,47985,10570,35671,17790,275417,11070,98995,5600,2870,7784
386xx,96310,360990,35350,9044580,176770,9158216,152570,6682095,32310,35146,16870,78034,15650,62506,33630,305049,14110,331995,3620,3840,10518
387xx,22060,86760,8980,1670517,42000,1695184,36090,1158715,5970,8675,3270,19325,3070,15385,7310,46185,2770,27524,460,1230,3436
388xx,67550,218900,21690,4947110,105160,5009878,91370,3682849,19560,20532,9480,40562,8950,32092,16570,150776,7960,75317,3290,2350,6102
389xx,22470,85680,9240,1708215,41800,1731722,36090,1226035,6460,8311,3080,14476,2800,11360,6720,48693,2570,22733,1680,1130,2761
390xx,64900,242560,25390,5989394,117290,6063635,100590,4479517,23180,22782,11900,48362,10890,36757,22140,168068,10580,104090,3740,2620,8177
391xx,67710,237460,27440,7272003,115980,7379481,98030,4913878,27170,37030,15700,109628,14620,87070,21990,218335,13980,317619,4270,2950,9842
392xx,49970,180750,17000,4282969,94520,4349090,81830,2978330,12940,21267,7620,105759,6960,69500,19170,133796,6490,191095,640,1650,4487
393xx,51560,164680,17840,3592192,80090,3631375,68620,2656820,14640,16441,6980,31456,6540,25635,13860,104325,6270,58267,4740,2290,7658
394xx,85510,299820,30610,7030370,141680,7118128,119750,5193203,27760,31755,14360,72909,13030,56924,26090,253917,12450,148909,6380,4380,17090
395xx,82840,331660,37140,8314600,164600,8417512,136570,5890585,38030,45470,18520,84313,17040,67417,28500,296060,15020,135125,1420,4150,14373
396xx,32330,102870,11140,2116988,48770,2141138,41020,1597817,8420,7008,3960,12506,3620,9266,9960,51392,3960,30307,3590,1660,6548
397xx,36980,130330,14100,3043896,65740,3083652,56310,2219411,13850,14811,7480,35781,7020,27716,11240,82495,6570,58354,2380,1770,4735
398xx,24390,82100,9230,1562823,39090,1581341,33080,1119875,8100,8950,3380,19628,3180,16982,6810,34253,2900,27298,1520,700,1655
400xx,70010,240880,27710,8608443,118330,8730855,101060,6205377,31860,42702,21910,180990,20790,154049,18140,258383,19000,263084,5850,4220,12435
401xx,34590,130160,13770,3145134,64550,3174341,55610,2397470,13540,12560,6240,14489,5760,11737,7510,65501,5400,40499,2590,2990,9073
402xx,176750,652500,82060,22046825,363210,22346225,311190,15604696,80930,115549,63020,545473,59600,452267,49290,684855,51100,759757,850,12400,39653
403xx,88200,294810,32440,7773879,145290,7865607,123500,5789242,32450,32128,17690,90875,16420,73931,22390,229323,15410,163885,8140,5620,21593
404xx,43560,146050,16040,3533656,72180,3572972,61010,2632775,15820,13791,8170,35649,7560,28375,11370,103818,7400,95778,4350,2570,9891
405xx,70220,257450,29580,9163880,138690,9304656,119420,6387455,34400,54515,26210,226461,24720,174080,21620,308823,22900,349183,1090,3080,12443
406xx,13230,44380,6600,1284549,24190,1297839,19600,809016,6530,8016,3160,14630,2940,11975,3240,28385,2500,19548,530,600,2122
407xx,25180,83520,7930,1680761,39520,1700093,33630,1251467,6680,6777,2790,11197,2560,8856,6290,63574,2340,19650,1350,1640,6984
408xx,6900,20530,1910,337474,9310,339849,7600,251559,1220,984,310,1170,270,983,1100,9308,220,988,0,440,2314
409xx,14250,43690,3800,725800,20240,732581,16850,541232,2870,2365,1080,4446,960,3593,3290,28901,870,9399,380,790,3584
410xx,113440,449160,50080,15267677,231330,15433834,201610,10861562,52700,56739,42280,343423,39840,294646,29160,361438,31530,908624,6730,7390,30780
411xx,29840,105190,12750,2437720,50470,2458811,41190,1775950,11910,10397,4420,14906,4020,12287,6930,60900,3450,20805,2210,3600,21858
412xx,9640,33950,3230,663614,15200,669198,12650,498334,2490,2206,730,2500,650,2013,2160,20624,610,3039,210,950,5051
413xx,6310,21690,2110,369880,10060,372701,8360,281579,1730,1150,340,556,290,422,1580,11640,340,1238,680,600,2208
414xx,5630,16520,1570,298704,7360,301310,6050,224244,1310,1201,290,879,240,750,1260,8203,310,2988,900,840,4030
415xx,10380,39710,3910,831703,18520,839048,15590,631923,3140,2758,1130,5558,1000,4635,1980,20843,920,7626,40,1230,6564
416xx,7730,25620,2530,501674,11910,505655,9830,369088,1790,1106,510,1716,460,1075,1740,18077,430,1585,30,670,3703
417xx,7060,25550,2280,471310,11720,474792,9850,357313,2020,2439,420,1642,390,1341,1460,15310,320,2337,0,620,3586
418xx,5770,18930,1870,342876,8660,345023,7100,255403,1470,809,230,776,200,635,1310,9031,160,593,0,340,1627
420xx,55710,180790,25910,4779524,92060,4848834,74690,3222666,25380,31719,14270,64711,13380,52334,14300,145492,12040,106252,4030,4820,18804
421xx,61210,187480,19860,4682919,94430,4749959,80500,3420425,20370,23960,10890,53988,10250,44507,16140,193576,10280,116238,6390,2820,9217
422xx,32330,122350,12530,2598979,59070,2636498,49790,1822292,11600,13596,6450,26435,5920,21849,8210,94752,5540,77940,3770,2010,6928
423xx,43700,148630,17970,3722359,73230,3768585,61630,2690951,16520,20306,9440,50260,8910,41678,9200,93997,8130,70492,2720,3050,11920
424xx,34670,109380,13860,2757546,54540,2791727,46270,1983053,11510,13603,7040,32247,6660,25369,6600,62614,5950,50004,1890,2240,9015
425xx,20050,61980,7190,1324322,29980,1341635,24700,931111,6340,6053,2940,9736,2620,7530,4830,53618,2690,22132,2190,1080,3841
426xx,15730,46970,4980,811804,22220,821390,18470,603122,4860,4128,1460,4659,1330,3679,3920,34205,1460,11858,1870,1300,4941
427xx,47880,151720,17680,3482590,74970,3523074,62600,2545866,17970,19360,7990,26049,7430,20836,12420,124098,7720,73340,6960,3450,10516
430xx,190580,795870,92300,32839913,408660,33322677,349320,23991226,117920,153256,94150,540591,88800,428911,65080,1105069,77820,1225143,4770,9000,40537
431xx,93000,384480,46900,11195293,201910,11328466,171700,8479100,44660,36654,28240,91572,26280,70451,27800,317964,22700,162456,2950,5290,23816
432xx,160400,683910,69890,21217126,388980,21531832,337900,15546761,72050,106532,56610,450509,53050,368570,60950,757862,46270,794804,170,7730,33912
433xx,41870,153080,20900,3928321,81170,3977025,68010,2850370,18070,15655,11860,33045,11100,25562,10010,107955,8560,63418,2820,2070,8720
434xx,41680,138610,22400,4128480,78330,4182826,64560,2872705,20490,19940,15010,56116,14030,42957,9100,101476,11790,80296,1730,3130,12016
435xx,80600,278590,41360,9752312,148630,9912341,123740,6857631,45050,52324,33250,158331,31150,121221,19580,319756,27220,212371,3260,4990,20417
436xx,63940,264790,34160,6736259,148290,6819837,126770,5025834,25930,30697,18380,95129,16950,72904,16300,178483,14350,77166,40,5030,19077
437xx,42270,156990,20880,3806483,82540,3843790,68940,2727734,17580,14090,9790,37621,9220,30293,10400,100934,8150,60587,3560,5010,24727
438xx,16620,57170,7050,1302145,28920,1318668,24010,949553,6320,4542,3650,12413,3430,9418,4440,59742,3230,21088,1620,1600,6687
439xx,37560,138510,22250,3549244,74730,3583319,61940,2460135,17640,14657,10620,34088,9770,26191,7680,83572,7800,53921,1260,5100,27681
440xx,216730,776740,120850,27574402,426180,27961028,349930,19041163,124340,175099,91960,577562,86380,459795,56540,801378,73910,861508,2440,16180,75660
441xx,266850,1004550,145000,34784413,578240,35300896,483270,24546605,145320,243388,109480,911203,102600,739498,82030,1065010,87770,1101522,0,17330,79038
442xx,141880,512430,75290,18772293,281820,19032507,235530,13439299,83550,103055,60780,291554,56800,225366,38330,498097,49600,513927,1950,9640,43515
443xx,57340,219670,29510,6427260,124300,6518885,105710,4629415,25800,40471,18300,130911,17160,104539,16480,188044,15360,189238,50,4210,18665
444xx,88330,290480,48770,8079288,160930,8185997,129040,5487744,41560,48970,30270,118643,28170,93635,20390,236376,22490,162681,1640,9580,40427
445xx,38690,127370,20620,3343609,72760,3390501,59830,2329921,16740,20170,13010,58972,12300,47864,9540,110101,9600,49107,30,3770,14555
446xx,119380,404060,56320,11253059,211390,11418010,173910,7769282,58170,65571,35990,153033,33310,121566,31540,480019,30450,261960,5500,8210,34627
447xx,45320,164550,25390,4984850,92050,5057987,76100,3431496,23440,28086,16560,110186,15480,90120,11640,172401,13850,121689,160,3700,16051
448xx,87980,291770,43790,7719629,159000,7818358,131880,5388267,39800,37615,26680,100708,24920,78833,18170,195866,21760,183883,4640,7490,28252
449xx,20160,75420,11590,1902985,41450,1927837,34240,1340314,8930,9787,5990,28660,5560,22753,4660,49374,4860,25895,250,1360,5581
450xx,132580,551350,66010,19732879,283440,19986449,242240,14776735,74360,76898,61920,324026,58940,265655,37530,586655,47060,550953,1470,6780,30629
451xx,78360,307500,38240,9661553,158020,9793334,133660,7145890,38910,35273,29300,144864,27750,118983,22450,317871,22240,204367,3860,5000,21560
452xx,166180,698280,92370,28014578,392900,28440110,334380,19009703,98620,204834,94680,1105531,90230,959426,54140,874410,69870,1263715,260,8630,37032
453xx,117510,439570,63760,13004297,235610,13181963,195780,9257057,64850,60064,39620,159912,37100,124953,29140,352549,32160,241638,5110,6030,24792
454xx,88270,409060,59560,12997055,225690,13174799,186870,8902956,64060,76399,40080,272111,37440,215688,28320,376758,33010,348390,150,5230,22090
455xx,19310,83050,12500,2095286,44460,2119325,36720,1457482,10130,9437,5820,26695,5410,21413,4850,61413,4350,31541,360,1570,5554
456xx,72450,269180,33930,6244908,135610,6305130,112660,4606365,29200,25679,13610,51862,12620,41953,17310,184286,10680,76335,4710,7410,34778
457xx,30390,112380,16560,2939598,61040,2972940,50050,2061257,15720,12680,9010,37675,8460,29616,8130,89831,7310,58738,1730,2990,15861
458xx,100630,325910,46150,9451656,174620,9594229,147420,6784758,47870,49826,35330,137816,33300,107487,19920,223421,27780,192077,6270,4220,15587
460xx,118920,541500,62850,23605203,263240,23959099,223670,16631352,79630,122444,61960,429573,58640,331334,40850,644552,54870,933726,2400,4080,16694
461xx,121640,522220,66890,16219535,264200,16424490,222890,12200192,65220,70181,43250,165925,40440,127071,35030,407712,36100,314018,3750,4020,16509
462xx,184470,849680,88390,24351425,452110,24674085,393860,18224134,81210,101906,57980,407945,54200,316444,65690,666841,48930,739045,170,7050,28957
463xx,166660,607350,84710,19242918,315120,19469182,260050,14145398,81670,92294,55020,264861,51470,208703,37250,459513,44540,440551,1340,9930,49284
464xx,25460,99430,13430,1943733,52830,1958366,42980,1482116,6090,7739,3190,7600,2890,5750,7570,48352,2250,9422,0,1430,6902
465xx,112540,447310,53320,13471942,220750,13675556,188310,9402759,60760,76665,33580,186734,31390,145765,28670,343450,30220,765687,4530,3380,12220
466xx,27340,129170,16980,3266157,68370,3309167,58060,2395574,15860,21918,9590,53255,8890,41797,8650,86450,7740,111734,90,1310,5206
467xx,85640,311030,42230,8286862,155420,8412274,127780,5955530,42410,48301,27060,97712,25300,73072,20720,243190,23340,158945,6580,2530,8968
468xx,62740,287050,35110,8539191,149200,8669010,127240,6089089,37550,44557,25060,159671,23480,127413,18570,208269,21100,194653,290,2580,9432
469xx,77080,265020,41270,6537918,137610,6622084,111160,4680326,37500,33956,18990,68964,17780,54123,15270,139892,15930,92995,3440,3270,10275
470xx,34490,107300,14870,3028580,55050,3065083,46090,2268974,14590,14134,10640,42937,10120,35818,6900,68537,7280,53235,2210,1350,5504
471xx,75140,269220,34990,7562545,139900,7648182,118830,5693316,30140,30965,20850,74446,19510,59555,17760,184030,16910,139166,3120,3320,11493
472xx,53460,200290,25280,5491916,100410,5552554,85040,4153529,25500,28284,16120,69991,15210,56806,11110,111506,13370,142447,2730,1420,5692
473xx,70460,256710,39300,6108511,135010,6188424,109180,4416553,29890,27999,17960,66897,16690,52666,15890,166400,14510,97814,3480,2580,9536
474xx,54360,203120,30610,5984866,110520,6064251,91140,4192117,28740,32344,17940,92291,16650,71401,16160,170428,15430,202503,2450,2340,8918
475xx,47930,146480,20510,4113747,75450,4179171,62900,2844860,20910,27040,14910,68746,14100,55312,9120,113345,11850,157052,3110,890,3591
476xx,33870,119030,16900,3876436,60340,3931114,50210,2805034,18040,16705,12750,58432,11990,45601,7050,96946,10060,106699,1190,1180,5150
477xx,43650,155340,22410,4698890,85390,4762834,71900,3308818,22220,25954,15690,97294,14800,78094,9030,126440,12290,139803,270,1420,5808
478xx,48240,148080,21540,3719871,77630,3764012,64080,2690391,16650,15212,10960,49151,10230,40828,8250,89478,8870,65230,1530,1820,7716
479xx,67250,257860,33710,7229847,133070,7334386,112240,5246081,34530,36559,21440,89912,19870,70786,16250,163688,17530,163489,3190,2150,8549
480xx,330850,1054600,156310,38300712,584860,38814966,471520,27399027,167510,247235,114410,636942,107210,481583,85140,1012356,96310,1048042,1120,27960,97951
481xx,420490,1438520,203470,51966969,772060,52594592,625490,38087674,241550,300365,160550,886535,150240,687796,109510,1429999,134700,1280138,1860,32320,106419
482xx,186710,633300,73760,14110466,336810,14279600,267900,9820626,46030,68474,27290,287928,25050,237073,71170,455761,21340,488347,20,17420,62543
483xx,282070,936050,137900,45206189,498140,45880178,401800,29696683,168670,381480,128530,1070923,121040,828691,78210,1437351,115790,2244136,80,17920,64652
484xx,131090,420850,66780,12847555,221670,13010695,172970,8878109,65990,76063,39050,161152,36090,120464,31860,336314,34180,215085,3580,12450,40505
485xx,40540,131170,18930,2507146,71770,2531328,54780,1679155,12480,10542,5870,50500,5420,35018,10850,77646,5400,46035,0,3710,11380
486xx,99550,337070,57250,9363236,179750,9476925,137530,6378813,58330,57323,31580,161853,29430,131491,22160,248715,25820,141883,2530,9920,34689
487xx,57960,178300,33410,4575685,97590,4637372,73390,3004579,30590,34303,17170,61821,15850,46146,11500,115250,14370,72682,1900,6030,20555
488xx,147700,524160,75180,16755956,274980,16972510,222550,11863612,86050,95875,49000,218902,45370,168699,38080,462111,42750,409476,5400,12670,39614
489xx,37180,135530,18130,3323877,77780,3359659,64480,2492268,18870,15191,8560,28790,7880,21389,10110,82252,7140,32370,40,3570,10951
490xx,173140,650630,91950,18995578,340440,19255416,278600,13581676,95590,105777,58700,346110,54840,272178,43410,559363,50380,395439,4760,14130,46829
491xx,24890,94790,15030,2937521,49590,2990383,40170,2003672,14510,16360,8790,49530,8220,38846,7080,91201,7690,71930,610,1700,6483
492xx,83410,293970,43710,7955706,152680,8046932,123120,5737630,41840,40232,24610,100704,22670,77891,19740,198919,20220,131160,3070,7770,24295
493xx,84160,318980,40000,11187140,157310,11370393,130970,7720580,56620,91074,30280,343055,28280,293200,22950,323760,26570,350129,2150,6320,21068
494xx,141480,526230,70760,16117848,268890,16382612,222550,11033049,85230,119802,51330,303457,48020,226235,36020,482462,44790,494443,2150,11020,35337
495xx,97270,373120,41310,12136207,200680,12320800,172920,8198675,57970,158754,31330,623312,29270,527099,27100,351693,26660,752725,80,6770,21812
496xx,61490,215700,39990,6439435,117560,6548201,89880,3893622,36240,52075,23210,166440,21490,127351,19240,252819,21210,256426,1880,7000,24000
497xx,62070,193180,36720,5494570,107130,5585368,81430,3285567,33340,39138,19850,122490,18560,95889,15840,170826,17330,192494,1530,8900,34781
498xx,47670,149710,26940,4117583,82290,4168676,63740,2748320,27880,22558,15840,61493,14810,48047,9510,86950,13420,94528,590,5410,20716
499xx,17090,59900,11230,1487897,32770,1507528,25390,967747,10860,8697,6750,26113,6200,20575,4090,37354,5430,30901,120,1960,8070
500xx,59910,211130,26070,7738572,108360,7857374,93370,5590163,38250,49953,24900,109489,23330,83813,16070,185206,20750,188661,4290,3940,16565
501xx,53080,168710,21780,5542934,83090,5629003,70460,3980373,27720,36629,17860,79333,16890,61019,11710,133527,15100,128905,4580,3980,17152
502xx,63350,214780,26430,8278516,108260,8408569,93160,5965372,37660,57354,25640,139007,24250,105324,16110,222959,21900,222169,4890,4220,17568
503xx,72440,268230,29530,8877623,140740,8992918,123420,6592742,36360,58197,26110,167666,24600,127928,19050,264886,21340,201421,460,7400,32222
504xx,33450,90210,14860,2689568,47260,2749094,38870,1767967,18440,21655,10620,42412,9880,30151,7130,63823,9040,58339,3670,2250,7949
505xx,37330,106090,16170,3006312,54420,3082176,45140,1939248,19140,24891,10710,46818,9950,37324,7810,77386,9370,65851,4320,2060,8919
506xx,50440,146280,22740,4676092,74180,4772940,60940,3104048,34260,45558,18810,76531,17790,57942,11210,123560,16030,109174,5940,5370,20850
507xx,20460,64630,8720,1703462,35070,1727099,30240,1217787,11150,11835,5490,27598,5130,21952,3890,43914,4440,37891,240,3390,13430
508xx,10010,27400,4420,686396,14100,701963,11410,466771,4970,6030,2620,6981,2440,5221,2300,23365,2500,17254,2280,600,2268
510xx,28470,79310,11610,2409358,39330,2471919,32620,1566522,16700,20832,7760,31089,7090,24440,6020,53650,7250,62902,4470,1530,5911
511xx,25490,74750,8390,1961829,38440,1991720,34070,1459857,8930,11641,5040,24018,4720,17070,4260,47735,4340,28132,210,1940,7917
512xx,15280,42520,5440,1298162,19460,1340527,16610,794954,9640,15790,4450,16485,4070,12170,3230,32911,4330,41256,2470,620,2643
513xx,15190,42110,7200,1414752,22340,1452432,18370,841376,8270,13900,5570,25776,5220,20307,3730,42246,4950,44811,1550,2030,6883
514xx,17080,43630,6570,1286068,21900,1320915,18130,798583,8660,11343,5290,18132,4980,14319,3420,33557,4300,29755,2380,750,4018
515xx,42160,128720,18050,3759806,66350,3818367,56100,2676153,20200,22730,11650,37671,10790,27965,8310,77195,10040,66832,3170,2240,8789
516xx,6670,18440,3170,500667,9460,510919,7630,323738,3310,3503,1730,5976,1580,4606,1230,9713,1540,11684,790,380,2043
520xx,45910,128040,18690,4021010,67360,4092107,57070,2751704,29870,50023,15570,69590,14740,51457,9370,90953,13280,122764,4350,5450,20065
521xx,19510,49810,8320,1397714,25930,1436472,20970,917459,11700,16479,6200,20633,5720,15660,4540,44437,5750,51050,3490,2040,8533
522xx,41390,140880,18840,5127057,76250,5213715,65030,3577107,32240,43847,18410,90330,17310,69712,11430,146869,15630,159391,3240,3350,13303
523xx,45490,156130,19690,5288231,78240,5372799,66810,3872387,33870,39670,18390,70956,17260,53522,11180,135824,15210,113043,3930,4180,16645
524xx,32100,123190,15550,4255954,67010,4317334,57710,3086643,24540,36939,14250,91513,13380,72323,8130,102432,11630,97200,280,3720,13718
525xx,31820,91500,13600,2339647,45970,2378537,37610,1592258,14840,18334,8040,36881,7610,28632,7270,72493,7360,73100,4400,3500,14839
526xx,32590,89030,13560,2430158,46560,2468294,38640,1673006,17220,19503,9250,39777,8760,31015,5750,58518,7220,55868,2270,3660,14228
527xx,51180,160790,22010,5626702,81380,5706492,68580,3928177,30870,42989,18860,110619,17810,88644,9940,120814,15010,164523,2660,4550,18951
528xx,23800,88030,11240,2530229,47730,2561662,40890,1860055,13220,15080,8020,42976,7560,34093,5420,67619,6480,45088,140,3070,12815
530xx,172940,624470,94010,27609998,328710,28074111,273170,18898448,134330,199910,98530,687598,93200,555524,40740,718107,84140,1230654,3800,10950,39113
531xx,169510,634410,89420,23194576,338690,23510511,283890,16850749,121610,124817,81040,383087,76170,301579,38900,552335,66150,635281,1630,13430,51750
532xx,164570,684360,73800,19815789,368030,20076152,318760,14744468,85930,118808,56800,433029,53040,358036,42140,526190,45030,913294,50,12790,49582
534xx,29480,115970,15550,3263411,61300,3297527,51180,2378870,19800,17413,9960,112414,9340,96906,5670,59885,7890,65035,20,2920,10125
535xx,151400,538910,73260,19585975,280870,19884108,237240,13907581,108280,120246,68280,326352,63990,254847,36960,499587,57940,649559,7530,10290,35101
537xx,54140,242710,31860,10405873,145830,10562184,126190,7184374,50910,69649,37570,265533,35450,212552,19560,276947,31870,414614,280,2730,10071
538xx,17200,47630,7360,1252431,25260,1275103,20760,870838,9840,11742,4910,15414,4600,10987,3390,33661,4730,40484,2140,1410,4133
539xx,57230,178480,27510,5003358,96980,5076204,79850,3530439,32050,29080,18930,64216,17560,49098,11570,128023,15860,118599,3590,4350,14395
540xx,44020,141870,17990,5233601,73450,5312781,62560,3846826,26980,27858,16860,70406,15740,55773,10410,130822,14330,128862,2290,3820,17656
541xx,71000,239580,32580,7860326,125840,7991876,106080,5592896,49500,49905,28150,118790,26460,93580,14400,191711,24370,224567,2590,6150,19887
542xx,38160,117870,19860,3855734,64340,3916315,52510,2485673,25920,26476,16770,87719,15720,69919,8010,92375,14150,328746,1860,3580,12402
543xx,45890,170460,21030,5411252,90880,5491865,77680,3823048,30520,32715,19920,102490,18950,82869,9200,129934,15950,145847,240,3260,11064
544xx,104610,351870,52010,10514504,187420,10684759,154610,7454511,68520,61781,37560,144900,35030,112690,22460,288724,32750,261991,6100,9550,30657
545xx,27540,80890,16950,2422066,45360,2464771,33890,1393628,17230,16204,9760,47160,9070,36674,7450,85838,8900,73785,440,2610,9477
546xx,68220,219300,31910,6440490,116600,6540940,96450,4551774,44370,42353,24090,97676,22040,71972,14530,163594,21110,189451,5160,5180,18638
547xx,67980,230710,32130,6836771,122810,6950981,102970,4909922,46390,43613,23560,90909,21670,64059,16470,205777,21370,190916,5260,6330,24200
548xx,47390,157400,27800,4312865,86090,4382647,68960,2880226,27480,30860,15880,58967,14410,44032,12340,125048,13350,123884,2100,5500,23512
549xx,121890,443800,61810,14766993,239120,14987306,201430,10664912,90740,86709,53080,272953,49720,222371,25900,342970,45270,417960,3320,9610,31424
550xx,180730,655630,80480,24576713,336710,24934516,287280,18339174,106200,118896,73310,307064,68060,238964,45730,594761,61630,546361,5800,16770,88444
551xx,194750,737190,93920,29614164,398650,30042254,339680,21640518,121380,181506,96230,674006,90260,547780,55080,785250,79280,985097,540,12690,67449
553xx,269860,989110,114150,46948569,501170,47722613,431700,32930658,164260,321156,126500,909485,118080,714721,75190,1263425,112690,2319754,6730,22010,121788
554xx,270020,993790,119340,42812670,557230,43465203,478200,30939963,155530,335349,126870,971910,119160,767435,83610,1258671,108070,1991018,270,18010,96025
556xx,3940,14090,2890,425357,7940,433161,6130,269489,3310,2776,1550,5868,1410,4192,1430,15623,1290,10732,40,640,3757
557xx,42080,143160,24550,4096444,77050,4145425,61850,2818273,23830,20151,13590,41266,12520,30299,9450,74887,11300,56676,1250,7360,57139
558xx,21670,94200,14460,3339853,53710,3388849,44730,2361075,15360,21618,12030,54122,11150,40983,6570,89120,9290,75503,110,2240,12443
559xx,93620,309710,42040,10825275,162400,10997533,137750,8012951,58050,61988,36680,201755,34130,163927,21270,275161,31220,310127,6990,6170,29248
560xx,77580,233850,34580,7305585,125830,7471875,105400,5023822,43500,55890,26040,84966,24010,63675,16800,187894,22720,183057,7120,6310,30143
561xx,31770,82890,13100,2208411,42310,2286889,34610,1400714,15780,17260,9180,24540,8160,17195,6150,64607,8180,49210,5600,2260,10531
562xx,48190,131880,20210,3845638,68590,3968018,56660,2448318,24580,38110,14720,47426,13160,34577,9660,96343,12960,80016,6510,3270,15778
563xx,89230,281390,37370,8650152,147340,8820306,124310,6031104,48630,66900,26230,91879,23930,66404,20810,243597,25220,253810,8000,8730,45219
564xx,39440,130260,22120,3712385,68580,3784659,54630,2363797,21600,29753,12330,46594,11240,33777,11200,120918,11970,103662,2980,4540,23789
565xx,48520,156240,23000,4562786,81020,4667441,67580,3120010,26300,27403,15240,47808,13510,33026,12300,141463,13310,105821,4600,4090,21223
566xx,23220,75580,11510,1935000,39190,1965492,32170,1337081,11700,10921,5320,18872,4820,14273,5720,47988,5220,33936,1670,3150,19151
567xx,21960,62030,8820,1847541,32770,1902962,28220,1279490,9620,10748,5320,21099,4890,15955,4410,37031,4940,39376,3430,2950,13859
570xx,47720,162200,21590,5850988,83100,5989341,71020,3721648,27900,48414,18160,84646,16790,62192,12800,163975,16320,239219,5960,1150,4173
571xx,45050,174300,21290,6616761,94540,6725552,82660,4500876,25780,60472,18860,111369,17590,82837,11900,178658,16570,354394,600,1690,6189
572xx,21990,63790,9380,1867004,32950,1918708,27630,1154431,10840,17560,7400,27876,6570,20851,4980,53130,6490,67363,4310,580,2614
573xx,24190,72580,11250,2026369,37500,2089512,30990,1227615,13040,19914,7430,31940,6730,21809,5660,66462,7700,97441,5120,380,1288
574xx,16960,51750,8140,1732028,27960,1785528,23180,1025661,10120,20111,5950,27679,5320,19107,4110,47725,5750,85044,3000,300,1107
575xx,13260,44060,6160,1196795,22430,1224819,18990,771024,6790,11005,3830,12702,3560,9075,3420,31322,4440,59462,2720,270,842
576xx,4810,15580,2020,347282,7540,356345,6390,222634,2010,2759,1610,2801,1260,1815,1040,7441,1440,19791,1380,160,590
577xx,43200,178730,26750,5489131,95140,5594117,78840,3459340,26750,47506,17530,93688,16150,69039,13750,164392,17000,264404,2900,2100,8289
580xx,25110,82540,9920,3016577,42450,3084473,37140,2133419,13710,18904,8490,32851,7750,23639,5730,61922,7730,74504,2650,1930,7304
581xx,27950,101950,11460,4017878,59150,4083412,52790,2802676,16150,37371,10900,68692,10250,52938,7220,107470,9690,178275,380,1880,8450
582xx,22930,81420,11060,2869395,45050,2938214,39200,1934227,13040,21406,7910,30294,7160,21785,5510,66564,7150,95741,2410,1480,6815
583xx,12980,40670,5940,1092001,20500,1124706,17040,692219,6360,7654,3080,10725,2620,7314,3040,34751,2930,22925,2460,1050,5930
584xx,14290,38330,6630,1239092,20740,1278162,16810,739212,7520,9229,4450,15377,3690,10302,3030,27627,4300,42774,3110,430,1841
585xx,39350,135740,18380,5038179,71830,5118805,61640,3584568,22980,31088,18940,55059,16520,39788,10150,124790,14120,165420,3920,2700,14709
586xx,14260,42270,5450,1522067,21940,1555401,18720,1060700,6890,9282,4600,16464,4110,11927,3560,50916,4520,54378,2620,1030,6304
587xx,23690,82670,9450,2820864,43170,2869205,37520,1962769,12830,16224,7480,24943,6420,17912,5100,53686,6880,95244,3040,1780,10519
588xx,11500,39240,3160,1659397,19640,1681607,17510,1133588,4780,11263,2860,11795,2550,7617,2760,35204,2930,57289,1060,1030,6771
590xx,22800,74850,11350,2046066,38040,2084229,30900,1376593,10870,13655,6960,36552,6150,24957,6320,63129,6830,100925,2490,2090,8730
591xx,34360,119740,16730,4124621,64920,4194077,55020,2834491,19060,30765,13050,79993,12230,63740,8810,121571,11550,132124,560,2950,11812
592xx,10640,31000,4490,889458,15850,906783,13280,612044,5160,6319,2960,10298,2590,8039,2160,19376,3000,32803,1660,540,2858
593xx,9210,28790,4630,859045,15030,875438,12450,574601,5180,6329,2990,9371,2690,6986,2410,23974,3220,42994,1630,540,2674
594xx,32420,109530,16110,2836025,58000,2882667,46030,1894324,16750,21130,12470,61983,9880,35838,7450,85348,10140,90338,2570,2530,10104
595xx,7190,24810,3390,576876,12430,585620,10210,399786,3880,4956,2420,12123,2010,7445,1580,12133,2240,24336,920,470,2015
596xx,16930,70540,11250,2317614,37900,2356354,30800,1536898,12220,15344,8430,41834,7740,32329,5760,67409,7590,93866,650,1710,6749
597xx,41460,147210,20550,5283935,83770,5402396,69970,3234884,25590,46829,18300,137167,17150,108245,14450,182456,17410,351109,1590,3530,14913
598xx,45570,168940,26860,5101608,93010,5201934,74480,3156917,30060,46422,17870,115623,16540,88586,15690,184684,17530,267451,2160,5150,20391
599xx,28660,103610,16850,3190598,54540,3254712,42840,1891768,19880,32538,10610,74543,9880,59243,10230,135715,10730,171729,730,4240,16733
600xx,479720,1637360,207630,90576155,817380,92059751,677030,56665269,288270,1031206,251040,3329854,238850,2646693,130190,2583241,217850,8180376,850,29270,175722
601xx,397840,1418330,159890,51471360,706730,52166961,604580,38348100,198780,283734,155880,876827,146530,673285,102830,1293556,130390,1424411,1120,28800,170775
